 INFO [main] 2017-02-08 16:34:30,270 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'contextSource': replacing [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:34:30,271 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'ldapTemplate': replacing [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.core.LdapTemplate]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:34:30,294 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'userRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 INFO [main] 2017-02-08 16:34:30,305 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'groupRepo': replacing [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.repository.support.LdapRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
 WARN [main] 2017-02-08 16:34:34,019 org.springframework.ldap.odm.core.impl.ObjectMetaData (line 118) The Entry class User should be declared final
 INFO [main] 2017-02-08 16:36:06,955 org.springframework.context.support.FileSystemXmlApplicationContext (line 510) Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@353e9cf: startup date [Wed Feb 08 16:36:06 CST 2017]; root of context hierarchy
 INFO [main] 2017-02-08 16:36:07,012 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\ldap\ldap-config.xml]
 INFO [main] 2017-02-08 16:36:07,337 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from file [E:\Git\LdapDemo\src\main\resources\spring\applicationContext.xml]
 INFO [main] 2017-02-08 16:36:07,405 org.springframework.beans.factory.xml.XmlBeanDefinitionReader (line 316) Loading XML bean definitions from class path resource [ldap/ldap-config.xml]
 INFO [main] 2017-02-08 16:36:07,455 org.springframework.beans.factory.support.DefaultListableBeanFactory (line 793) Overriding bean definition for bean 'contextSource': replacing [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.ldap.transaction.compensating.manager.TransactionAwareContextSourceProxy]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
